2019-08-03 00:47:37,181 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:79] - INFO: 开始更新笔记: 20190803（周六）
2019-08-03 00:47:42,059 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:255] - INFO: Found 59 notebooks
2019-08-03 00:48:33,141 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [f6b6f677-bbe4-49c2-a7c4-175a5a258fb3], notebook [待完善笔记]
2019-08-03 00:48:33,490 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [802e562e-3042-493f-86b4-e0a24b09a71b], notebook [VmallServer项目]
2019-08-03 00:48:33,819 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [333c3362-008b-425d-99da-ad28b99ef5a3], notebook [List]
2019-08-03 00:48:34,128 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [366bc53d-b6fe-4978-ab0a-299446cc68ed], notebook [Linq]
2019-08-03 00:48:34,433 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [994fb801-a5d0-451c-9e32-f2b1491f16a6], notebook [JS]
2019-08-03 00:48:34,778 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [234fb518-2e07-4e81-951e-1b34aaf13e10], notebook [邮件Report]
2019-08-03 00:48:35,117 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [2ef2f679-df7d-4f66-8b2e-d710eb0099e4], notebook [Mailchimp]
2019-08-03 00:48:35,444 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [bd37bb30-2df9-49ca-a567-a21e242f1803], notebook [优客需求]
2019-08-03 00:48:35,802 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [ea969033-82e3-45b4-a576-c0ac0c5d3acb], notebook [CSS]
2019-08-03 00:48:36,148 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [72c4605c-1da5-47f7-885c-9aed2614686a], notebook [Asp.Net]
2019-08-03 00:48:36,492 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [b6a5f9c7-3092-451c-b73b-c626279a5e3f], notebook [Lodop]
2019-08-03 00:48:36,778 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [d40ad245-a870-447b-abd1-534429699de0], notebook [DataTime]
2019-08-03 00:48:37,081 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [3e1e25a0-f079-498e-87fb-6ec281cbc82b], notebook [PHP基础]
2019-08-03 00:48:37,390 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [f434c3fd-f771-4c2f-a02d-e0d1f0c6d4d8], notebook [生活记录]
2019-08-03 00:48:37,683 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [e4c7c2e4-6de4-4049-b89e-3ea455c2b990], notebook [泛型]
2019-08-03 00:48:37,960 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [1e27af6b-6cf2-4910-ae79-2002fb9d2990], notebook [win10]
2019-08-03 00:48:38,295 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [52c0fa40-3b5b-4317-bf88-856c68c1e1e5], notebook [游戏]
2019-08-03 00:48:38,604 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [d1b56614-fbf0-4737-b75f-9e98d3272bd7], notebook [日常备忘]
2019-08-03 00:48:38,891 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [9225885f-4c61-4939-ab65-72071b1fdfa9], notebook [Echaohuo]
2019-08-03 00:48:39,167 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [997c9022-36cb-48bf-adf6-7bec377f77ba], notebook [环境安装]
2019-08-03 00:48:39,479 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [f98f2a76-2bdf-4865-b649-b10466f37607], notebook [Install]
2019-08-03 00:48:39,976 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [bb271cb1-eafb-400f-a219-08142102ed92], notebook [其他]
2019-08-03 00:48:40,253 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:271] - INFO: guid: [9e6f04e6-9da5-46da-9a44-54e475a90d9c], notebook [Command]
2019-08-03 00:48:44,983 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:308] - INFO: 添加笔记: [部署 Centos7 +python]
2019-08-03 00:51:15,903 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:376] - INFO: Exception: [553 Could not create file.]
2019-08-03 00:51:55,838 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:81] - INFO: 开始更新笔记: 20190803（周六）
2019-08-03 00:51:57,976 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:257] - INFO: Found 59 notebooks
2019-08-03 00:51:57,976 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [52d3ba71-70fd-4da5-9cfc-0eaefe64e5fe], notebook [工作]
2019-08-03 00:51:58,338 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [231f0999-9a87-4ff4-9d7c-7fa5f69c8b02], notebook [正则表达式]
2019-08-03 00:51:58,684 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [14c558c5-ff85-4cf7-985d-bcefc3357922], notebook [String]
2019-08-03 00:51:59,009 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [288113f3-13c6-4895-ba9a-fbb19a2d3609], notebook [Path]
2019-08-03 00:51:59,312 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [d450b58b-bd33-436f-a2a2-2474fa727957], notebook [Directory]
2019-08-03 00:51:59,648 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [34678d6c-f68a-4a82-89e3-64b4e9ad0929], notebook [网站]
2019-08-03 00:51:59,990 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [63eaa359-1678-4754-b0ab-b9e751269dab], notebook [HTML]
2019-08-03 00:52:00,295 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [09ad99ca-82a1-4569-89eb-64b0c528a672], notebook [运算符]
2019-08-03 00:52:00,592 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [2b580ac0-f85e-449a-9fe2-90a3f3330582], notebook [计划]
2019-08-03 00:52:00,947 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [350d5f81-c7ed-4c76-8120-e97d8a5f18b4], notebook [邮件发送]
2019-08-03 00:52:01,283 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [f6b6f677-bbe4-49c2-a7c4-175a5a258fb3], notebook [待完善笔记]
2019-08-03 00:52:01,609 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [802e562e-3042-493f-86b4-e0a24b09a71b], notebook [VmallServer项目]
2019-08-03 00:52:01,884 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [333c3362-008b-425d-99da-ad28b99ef5a3], notebook [List]
2019-08-03 00:52:02,194 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [366bc53d-b6fe-4978-ab0a-299446cc68ed], notebook [Linq]
2019-08-03 00:52:02,467 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [994fb801-a5d0-451c-9e32-f2b1491f16a6], notebook [JS]
2019-08-03 00:52:02,779 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [234fb518-2e07-4e81-951e-1b34aaf13e10], notebook [邮件Report]
2019-08-03 00:52:03,088 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [2ef2f679-df7d-4f66-8b2e-d710eb0099e4], notebook [Mailchimp]
2019-08-03 00:52:03,417 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [bd37bb30-2df9-49ca-a567-a21e242f1803], notebook [优客需求]
2019-08-03 00:52:03,734 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [ea969033-82e3-45b4-a576-c0ac0c5d3acb], notebook [CSS]
2019-08-03 00:52:04,085 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [72c4605c-1da5-47f7-885c-9aed2614686a], notebook [Asp.Net]
2019-08-03 00:52:04,414 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [b6a5f9c7-3092-451c-b73b-c626279a5e3f], notebook [Lodop]
2019-08-03 00:52:04,766 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [d40ad245-a870-447b-abd1-534429699de0], notebook [DataTime]
2019-08-03 00:52:05,131 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [3e1e25a0-f079-498e-87fb-6ec281cbc82b], notebook [PHP基础]
2019-08-03 00:52:05,469 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [f434c3fd-f771-4c2f-a02d-e0d1f0c6d4d8], notebook [生活记录]
2019-08-03 00:52:05,822 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [e4c7c2e4-6de4-4049-b89e-3ea455c2b990], notebook [泛型]
2019-08-03 00:52:06,131 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [1e27af6b-6cf2-4910-ae79-2002fb9d2990], notebook [win10]
2019-08-03 00:52:06,480 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [52c0fa40-3b5b-4317-bf88-856c68c1e1e5], notebook [游戏]
2019-08-03 00:52:06,818 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [d1b56614-fbf0-4737-b75f-9e98d3272bd7], notebook [日常备忘]
2019-08-03 00:52:07,122 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [9225885f-4c61-4939-ab65-72071b1fdfa9], notebook [Echaohuo]
2019-08-03 00:52:07,430 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [997c9022-36cb-48bf-adf6-7bec377f77ba], notebook [环境安装]
2019-08-03 00:52:07,785 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [f98f2a76-2bdf-4865-b649-b10466f37607], notebook [Install]
2019-08-03 00:52:08,338 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [bb271cb1-eafb-400f-a219-08142102ed92], notebook [其他]
2019-08-03 00:52:08,653 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [9e6f04e6-9da5-46da-9a44-54e475a90d9c], notebook [Command]
2019-08-03 00:52:15,732 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:310] - INFO: 添加笔记: [部署 Centos7 +python]
2019-08-03 00:53:51,480 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:81] - INFO: 开始更新笔记: 20190803（周六）
2019-08-03 00:53:53,575 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:257] - INFO: Found 59 notebooks
2019-08-03 00:53:53,575 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [52d3ba71-70fd-4da5-9cfc-0eaefe64e5fe], notebook [工作]
2019-08-03 00:53:53,897 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [231f0999-9a87-4ff4-9d7c-7fa5f69c8b02], notebook [正则表达式]
2019-08-03 00:53:54,203 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [14c558c5-ff85-4cf7-985d-bcefc3357922], notebook [String]
2019-08-03 00:53:54,506 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [288113f3-13c6-4895-ba9a-fbb19a2d3609], notebook [Path]
2019-08-03 00:53:54,778 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [d450b58b-bd33-436f-a2a2-2474fa727957], notebook [Directory]
2019-08-03 00:53:55,049 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [34678d6c-f68a-4a82-89e3-64b4e9ad0929], notebook [网站]
2019-08-03 00:53:55,352 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [63eaa359-1678-4754-b0ab-b9e751269dab], notebook [HTML]
2019-08-03 00:53:55,657 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [09ad99ca-82a1-4569-89eb-64b0c528a672], notebook [运算符]
2019-08-03 00:53:55,934 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [2b580ac0-f85e-449a-9fe2-90a3f3330582], notebook [计划]
2019-08-03 00:53:56,216 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [350d5f81-c7ed-4c76-8120-e97d8a5f18b4], notebook [邮件发送]
2019-08-03 00:53:56,530 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [f6b6f677-bbe4-49c2-a7c4-175a5a258fb3], notebook [待完善笔记]
2019-08-03 00:53:56,845 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [802e562e-3042-493f-86b4-e0a24b09a71b], notebook [VmallServer项目]
2019-08-03 00:53:57,112 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [333c3362-008b-425d-99da-ad28b99ef5a3], notebook [List]
2019-08-03 00:53:57,380 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [366bc53d-b6fe-4978-ab0a-299446cc68ed], notebook [Linq]
2019-08-03 00:53:57,686 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [994fb801-a5d0-451c-9e32-f2b1491f16a6], notebook [JS]
2019-08-03 00:53:57,996 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [234fb518-2e07-4e81-951e-1b34aaf13e10], notebook [邮件Report]
2019-08-03 00:53:58,323 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [2ef2f679-df7d-4f66-8b2e-d710eb0099e4], notebook [Mailchimp]
2019-08-03 00:53:58,703 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [bd37bb30-2df9-49ca-a567-a21e242f1803], notebook [优客需求]
2019-08-03 00:53:59,038 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [ea969033-82e3-45b4-a576-c0ac0c5d3acb], notebook [CSS]
2019-08-03 00:53:59,391 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [72c4605c-1da5-47f7-885c-9aed2614686a], notebook [Asp.Net]
2019-08-03 00:53:59,744 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [b6a5f9c7-3092-451c-b73b-c626279a5e3f], notebook [Lodop]
2019-08-03 00:54:00,098 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [d40ad245-a870-447b-abd1-534429699de0], notebook [DataTime]
2019-08-03 00:54:00,415 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [3e1e25a0-f079-498e-87fb-6ec281cbc82b], notebook [PHP基础]
2019-08-03 00:54:00,733 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [f434c3fd-f771-4c2f-a02d-e0d1f0c6d4d8], notebook [生活记录]
2019-08-03 00:54:01,079 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [e4c7c2e4-6de4-4049-b89e-3ea455c2b990], notebook [泛型]
2019-08-03 00:54:01,411 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [1e27af6b-6cf2-4910-ae79-2002fb9d2990], notebook [win10]
2019-08-03 00:54:01,759 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [52c0fa40-3b5b-4317-bf88-856c68c1e1e5], notebook [游戏]
2019-08-03 00:54:02,063 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [d1b56614-fbf0-4737-b75f-9e98d3272bd7], notebook [日常备忘]
2019-08-03 00:54:02,380 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [9225885f-4c61-4939-ab65-72071b1fdfa9], notebook [Echaohuo]
2019-08-03 00:54:02,681 - D:/My/Code/application/asp.net core mvc python evernote/auto_get_evernote.py[line:273] - INFO: guid: [997c9022-36cb-48bf-adf6-7bec377f77ba], notebook [环境安装]
